xx yy kga030.w20
30 30 +1.100e-18
27 32 +1.100e-18
28 32 +1.100e-18
29 32 +1.388e-04
30 32 +6.860e-05
31 32 +1.100e-18
32 32 +5.000e-05
33 32 +5.420e-05
34 32 +6.940e-05
35 33 +8.060e-05
34 33 +4.024e-05
33 33 +3.130e-05
32 33 +3.188e-05
31 33 +3.006e-05
30 33 +1.100e-18
29 33 +4.520e-05
27 33 +1.100e-18
26 33 +1.100e-18
25 34 +1.100e-18
26 34 +1.100e-18
27 34 +1.100e-18
28 34 +3.944e-05
29 34 +1.100e-18
30 34 +1.100e-18
31 34 +2.908e-05
32 34 +1.100e-18
33 34 +3.078e-05
34 34 +3.234e-05
35 34 +4.160e-05
36 35 +4.920e-05
34 35 +1.100e-18
33 35 +3.400e-05
31 35 +1.100e-18
29 35 +1.100e-18
28 35 +1.100e-18
27 35 +4.010e-05
26 35 +1.100e-18
25 35 +1.100e-18
26 36 +6.460e-05
35 37 +3.242e-05
34 37 +5.320e-05
33 37 +7.680e-05
31 37 +1.264e-04
30 37 +1.100e-18
27 37 +2.224e-05
26 37 +1.100e-18
25 37 +1.058e-04
26 38 +4.900e-05
29 38 +7.120e-05
30 38 +9.180e-05
31 38 +1.022e-04
33 38 +1.100e-18
35 39 +2.892e-05
33 39 +4.340e-05
31 39 +6.740e-05
30 39 +6.860e-05
29 39 +4.180e-05
28 39 +2.536e-05
26 39 +8.260e-05
25 39 +1.100e-18
25 40 +1.100e-18
27 40 +7.060e-05
32 40 +1.100e-18
33 40 +3.126e-05
35 41 +5.180e-05
32 41 +3.436e-05
31 41 +3.838e-05
32 42 +6.340e-05
34 42 +6.940e-05
33 43 +1.100e-18
31 30 +1.000e-18
32 30 +1.000e-18
28 31 +1.000e-18
29 31 +1.000e-18
30 31 +1.000e-18
31 31 +1.000e-18
32 31 +1.000e-18
33 31 +1.000e-18
34 31 +1.000e-18
35 31 +1.000e-18
26 32 +1.000e-18
35 32 +1.000e-18
36 32 +1.000e-18
25 33 +1.000e-18
28 33 +1.000e-18
36 33 +1.000e-18
37 33 +1.000e-18
36 34 +1.000e-18
37 34 +1.000e-18
38 34 +1.000e-18
24 35 +1.000e-18
30 35 +1.000e-18
32 35 +1.000e-18
35 35 +1.000e-18
37 35 +1.000e-18
38 35 +1.000e-18
24 36 +1.000e-18
25 36 +1.000e-18
27 36 +1.000e-18
28 36 +1.000e-18
29 36 +1.000e-18
30 36 +1.000e-18
31 36 +1.000e-18
32 36 +1.000e-18
33 36 +1.000e-18
34 36 +1.000e-18
35 36 +1.000e-18
36 36 +1.000e-18
37 36 +1.000e-18
38 36 +1.000e-18
24 37 +1.000e-18
28 37 +1.000e-18
29 37 +1.000e-18
32 37 +1.000e-18
36 37 +1.000e-18
37 37 +1.000e-18
38 37 +1.000e-18
39 37 +1.000e-18
24 38 +1.000e-18
25 38 +1.000e-18
27 38 +1.000e-18
28 38 +1.000e-18
32 38 +1.000e-18
34 38 +1.000e-18
35 38 +1.000e-18
36 38 +1.000e-18
37 38 +1.000e-18
38 38 +1.000e-18
24 39 +1.000e-18
27 39 +1.000e-18
32 39 +1.000e-18
34 39 +1.000e-18
36 39 +1.000e-18
37 39 +1.000e-18
38 39 +1.000e-18
26 40 +1.000e-18
28 40 +1.000e-18
29 40 +1.000e-18
30 40 +1.000e-18
31 40 +1.000e-18
34 40 +1.000e-18
35 40 +1.000e-18
36 40 +1.000e-18
37 40 +1.000e-18
38 40 +1.000e-18
25 41 +1.000e-18
26 41 +1.000e-18
27 41 +1.000e-18
28 41 +1.000e-18
29 41 +1.000e-18
30 41 +1.000e-18
33 41 +1.000e-18
34 41 +1.000e-18
36 41 +1.000e-18
37 41 +1.000e-18
26 42 +1.000e-18
27 42 +1.000e-18
28 42 +1.000e-18
29 42 +1.000e-18
30 42 +1.000e-18
31 42 +1.000e-18
33 42 +1.000e-18
35 42 +1.000e-18
36 42 +1.000e-18
28 43 +1.000e-18
29 43 +1.000e-18
30 43 +1.000e-18
31 43 +1.000e-18
32 43 +1.000e-18
34 43 +1.000e-18
35 43 +1.000e-18
30 44 +1.000e-18
31 44 +1.000e-18
32 44 +1.000e-18
