xx yy kga030.w01	xx yy kga030.w02	xx yy kga030.w03	xx yy kga030.w04	xx yy kga030.w05	xx yy kga030.w06	xx yy kga030.w07	xx yy kga030.w08	xx yy kga030.w09
30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18
31 31 +1.100e-18	28 32 +1.100e-18	28 31 +1.100e-18	29 31 +1.100e-18	30 31 +1.100e-18	27 32 +1.100e-18	33 32 +1.100e-18	27 32 +1.100e-18	30 31 +2.020e-04
32 31 +1.100e-18	29 32 +1.100e-18	29 31 +1.100e-18	30 31 +3.136e-03	35 32 +1.100e-18	28 32 +7.860e-04	34 32 +1.100e-18	29 32 +1.100e-18	31 31 +2.360e-04
35 32 +1.100e-18	30 32 +1.100e-18	31 31 +1.100e-18	31 31 +1.100e-18	34 32 +1.100e-18	29 32 +1.100e-18	35 32 +1.100e-18	30 32 +1.100e-18	33 31 +1.100e-18
32 32 +1.636e-03	31 32 +1.100e-18	32 31 +1.100e-18	32 31 +1.092e-03	33 32 +1.100e-18	30 32 +1.100e-18	36 33 +1.100e-18	33 32 +1.100e-18	34 32 +1.100e-18
28 32 +5.880e-04	33 32 +1.100e-18	34 31 +1.100e-18	33 31 +1.100e-18	32 32 +1.100e-18	33 32 +1.100e-18	35 33 +1.100e-18	34 32 +1.526e-03	32 32 +5.200e-04
27 32 +1.100e-18	35 33 +1.100e-18	35 32 +3.102e-03	35 32 +2.086e-03	31 32 +1.100e-18	34 32 +1.100e-18	34 33 +1.100e-18	35 32 +7.620e-05	31 32 +1.100e-18
26 33 +1.100e-18	34 33 +1.100e-18	34 32 +1.100e-18	34 32 +1.100e-18	30 32 +1.100e-18	36 33 +1.100e-18	31 33 +1.100e-18	35 33 +3.620e-05	29 32 +2.138e-04
27 33 +1.160e-03	33 33 +2.626e-05	33 32 +2.228e-03	33 32 +1.100e-18	29 32 +1.100e-18	35 33 +1.100e-18	30 33 +1.100e-18	34 33 +1.100e-18	28 32 +1.100e-18
28 33 +1.624e-03	32 33 +1.100e-18	32 32 +1.100e-18	31 32 +1.100e-18	28 32 +1.100e-18	34 33 +1.100e-18	28 34 +1.100e-18	32 33 +1.100e-18	27 32 +1.100e-18
31 33 +1.100e-18	31 33 +1.100e-18	31 32 +1.100e-18	30 32 +5.604e-03	27 33 +1.100e-18	33 33 +1.100e-18	30 34 +1.100e-18	31 33 +1.100e-18	26 33 +1.100e-18
34 33 +1.100e-18	31 34 +1.100e-18	30 32 +1.100e-18	29 32 +1.348e-03	29 33 +1.100e-18	32 33 +1.100e-18	32 34 +1.100e-18	30 33 +1.100e-18	28 33 +1.978e-04
36 33 +1.100e-18	33 34 +2.744e-05	29 32 +1.100e-18	28 32 +1.100e-18	30 33 +1.100e-18	31 33 +1.100e-18	34 34 +1.100e-18	29 33 +1.100e-18	30 33 +1.100e-18
37 34 +1.100e-18	34 34 +1.170e-02	28 32 +1.100e-18	26 33 +1.100e-18	31 33 +1.100e-18	29 33 +2.664e-04	35 34 +1.100e-18	28 33 +1.100e-18	33 33 +1.100e-18
36 34 +1.100e-18	35 34 +1.100e-18	27 32 +1.100e-18	27 33 +1.100e-18	33 33 +1.100e-18	26 33 +1.100e-18	37 35 +1.100e-18	26 33 +2.778e-03	34 33 +1.100e-18
35 34 +1.100e-18	36 35 +1.100e-18	27 33 +1.100e-18	28 33 +5.864e-03	34 33 +1.100e-18	25 34 +1.100e-18	35 35 +1.100e-18	25 33 +1.100e-18	35 33 +1.100e-18
25 35 +1.100e-18	35 35 +1.100e-18	28 33 +1.100e-18	31 33 +1.100e-18	35 33 +1.100e-18	26 34 +1.100e-18	34 35 +1.100e-18	28 34 +1.100e-18	37 34 +1.100e-18
26 35 +1.100e-18	34 35 +1.100e-18	29 33 +1.100e-18	34 33 +1.100e-18	36 33 +2.508e-04	27 34 +6.620e-04	32 35 +8.640e-04	29 34 +1.100e-18	36 34 +1.100e-18
