xx yy kga030.w10	xx yy kga030.w11	xx yy kga030.w12	xx yy kga030.w13	xx yy kga030.w14	xx yy kga030.w15	xx yy kga030.w16	xx yy kga030.w17	xx yy kga030.w18	xx yy kga030.w19
30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18	30 30 +1.100e-18
30 31 +3.044e-03	33 31 +1.100e-18	30 31 +1.100e-18	29 31 +1.100e-18	30 31 +1.100e-18	29 31 +1.100e-18	31 31 +3.162e-02	28 31 +1.100e-18	30 31 +1.496e-04	30 31 +1.100e-18
31 31 +1.100e-18	35 32 +1.100e-18	32 31 +1.100e-18	30 31 +1.190e-02	31 31 +1.100e-18	30 31 +8.220e-04	32 31 +2.054e-05	31 31 +7.760e-04	31 31 +1.100e-18	33 31 +2.544e-04
35 32 +6.840e-05	33 32 +1.100e-18	35 32 +1.100e-18	31 31 +1.100e-18	34 31 +1.100e-18	31 31 +1.100e-18	33 31 +1.100e-18	33 31 +1.100e-18	32 31 +1.100e-18	35 32 +1.100e-18
34 32 +1.100e-18	32 32 +1.100e-18	33 32 +1.100e-18	32 31 +1.100e-18	35 32 +1.100e-18	33 31 +1.100e-18	35 32 +6.900e-05	34 31 +1.100e-18	33 32 +1.100e-18	34 32 +1.100e-18
33 32 +1.100e-18	31 32 +1.100e-18	32 32 +1.100e-18	35 32 +1.100e-18	34 32 +1.100e-18	35 32 +1.100e-18	32 32 +1.100e-18	35 32 +1.100e-18	32 32 +1.100e-18	33 32 +1.100e-18
32 32 +2.534e-03	30 32 +1.100e-18	31 32 +1.100e-18	33 32 +1.100e-18	33 32 +1.100e-18	34 32 +1.100e-18	31 32 +1.100e-18	34 32 +2.650e-03	31 32 +1.456e-01	32 32 +1.100e-18
31 32 +2.584e-03	29 32 +1.100e-18	30 32 +1.384e-03	31 32 +1.100e-18	32 32 +1.100e-18	32 32 +1.100e-18	30 32 +1.100e-18	33 32 +1.100e-18	30 32 +1.100e-18	31 32 +1.100e-18
29 32 +1.100e-18	28 32 +1.100e-18	29 32 +3.838e-02	30 32 +1.100e-18	31 32 +6.000e-05	31 32 +1.100e-18	29 32 +1.100e-18	32 32 +1.100e-18	29 32 +1.264e-04	30 32 +1.100e-18
25 33 +1.100e-18	27 32 +1.100e-18	28 32 +1.100e-18	29 32 +1.100e-18	29 32 +1.100e-18	29 33 +1.100e-18	28 32 +1.100e-18	31 32 +1.100e-18	26 33 +1.100e-18	29 32 +1.100e-18
26 33 +1.100e-18	26 33 +1.100e-18	25 33 +1.100e-18	28 32 +1.960e-03	28 32 +1.100e-18	30 33 +1.100e-18	27 32 +2.600e-02	30 32 +1.100e-18	27 33 +1.100e-18	28 32 +1.100e-18
33 33 +1.354e-05	27 33 +2.172e-03	27 33 +1.100e-18	25 33 +1.100e-18	27 32 +1.100e-18	31 33 +1.100e-18	30 33 +1.100e-18	29 32 +1.100e-18	28 33 +1.100e-18	27 32 +2.078e-02
34 33 +1.100e-18	28 33 +1.100e-18	28 33 +1.100e-18	26 33 +1.100e-18	25 33 +2.358e-01	32 33 +1.100e-18	31 33 +1.100e-18	28 32 +1.100e-18	29 33 +1.100e-18	26 33 +3.266e-02
36 33 +1.100e-18	31 33 +1.100e-18	30 33 +9.160e-04	27 33 +1.100e-18	26 33 +1.100e-18	33 33 +1.100e-18	33 33 +3.596e-04	26 32 +1.100e-18	30 33 +1.100e-18	27 33 +1.100e-18
36 34 +1.972e-03	32 33 +1.100e-18	31 33 +1.100e-18	29 33 +5.340e-05	29 33 +1.100e-18	34 33 +5.134e-03	35 33 +1.100e-18	26 33 +3.526e-02	32 33 +1.100e-18	28 33 +1.100e-18
33 34 +1.100e-18	33 33 +1.100e-18	32 33 +1.100e-18	30 33 +4.038e-04	31 33 +1.100e-18	35 33 +1.100e-18	37 34 +1.100e-18	28 33 +1.924e-04	33 33 +2.356e-05	29 33 +1.100e-18
32 34 +1.100e-18	34 33 +1.100e-18	33 33 +1.100e-18	31 33 +1.100e-18	32 33 +1.100e-18	36 33 +1.100e-18	36 34 +5.080e-03	29 33 +1.100e-18	34 33 +1.902e-04	30 33 +1.100e-18
31 34 +1.368e-05	36 34 +1.100e-18	34 33 +1.100e-18	32 33 +2.560e-03	34 33 +1.100e-18	37 34 +1.066e-03	35 34 +1.810e-05	30 33 +1.100e-18	36 33 +1.100e-18	31 33 +1.100e-18
30 34 +1.100e-18	35 34 +3.188e-05	35 33 +1.100e-18	33 33 +5.570e-03	35 33 +1.100e-18	36 34 +1.100e-18	34 34 +1.100e-18	32 33 +1.100e-18	37 34 +3.028e-03	33 33 +1.100e-18
29 34 +1.950e-03	34 34 +1.100e-18	36 33 +1.100e-18	34 33 +1.100e-18	36 33 +1.100e-18	35 34 +1.100e-18	32 34 +1.214e-05	33 33 +3.760e-02	35 34 +1.100e-18	34 33 +3.118e-05
26 34 +1.100e-18	33 34 +1.100e-18	37 34 +1.100e-18	35 33 +1.100e-18	37 34 +1.100e-18	34 34 +1.100e-18	31 34 +1.100e-18	34 33 +1.100e-18	34 34 +1.100e-18	35 33 +1.398e-03
29 35 +1.100e-18	31 34 +1.100e-18	36 34 +3.390e-02	36 33 +1.100e-18	36 34 +2.482e-03	33 34 +1.100e-18	30 34 +1.100e-18	35 33 +7.700e-05	33 34 +1.100e-18	36 33 +9.300e-04
30 35 +7.100e-04	29 34 +1.100e-18	35 34 +2.352e-03	37 34 +1.100e-18	35 34 +3.542e-03	32 34 +1.100e-18	29 34 +1.596e-04	36 33 +1.100e-18	32 34 +1.100e-18	36 34 +3.090e-03
31 35 +1.100e-18	28 34 +1.100e-18	33 34 +2.928e-05	36 34 +1.100e-18	34 34 +1.100e-18	31 34 +7.240e-05	28 34 +1.520e-05	37 34 +1.100e-18	30 34 +3.562e-05	34 34 +1.100e-18
32 35 +1.100e-18	27 34 +1.100e-18	31 34 +1.100e-18	35 34 +1.100e-18	33 34 +1.100e-18	30 34 +1.100e-18	25 35 +1.100e-18	36 34 +4.460e-04	29 34 +1.100e-18	33 34 +2.440e-04
