date,aclose,close,high,low,open,volume,swp01,swp02,swp03,swp04,swp05,swp06,swp07,swp08,swp09,swp10
2017-01-02,8110,8170,8060,8110,8160,60571,enter,,,,,,,,,
2017-01-03,8110,8170,8090,8110,8110,32249,,enter,,,,,,,,
2017-01-04,8150,8190,8070,8150,8120,74448,,,enter,,,,,,,
2017-01-05,8210,8250,8140,8210,8170,52130,,,,enter,,,,,,
2017-01-06,8160,8300,8140,8160,8300,48364,,,,,enter,,,,,
2017-01-09,8080,8210,8010,8080,8210,69546,,,,,,enter,,,,
2017-01-10,7950,8080,7930,7950,8010,96568,,,,,,,enter,,,
2017-01-11,7910,8040,7910,7910,7950,53542,,,,,,,,enter,,
2017-01-12,7850,7930,7790,7850,7890,75632,,,,,,,,,enter,
2017-01-13,7900,7970,7810,7900,7810,52826,,,,,,,,,,enter
2017-01-16,7850,8060,7810,7850,7910,41817,,,,,,,,,,
2017-01-17,8170,8170,7810,8170,7890,216637,,,,,,,,,,
2017-01-18,8070,8210,7990,8070,8200,139534,,,,,,,,,,
2017-01-19,7920,8080,7920,7920,8050,86675,,,,,,,,,,
2017-01-20,7950,8020,7890,7950,7970,44345,,,,,,,,,,
2017-01-23,8350,8400,7990,8350,8020,288406,,,,,,,,,,
2017-01-24,8330,8450,8260,8330,8370,159507,,,,,,,,,,
2017-01-25,8180,8350,8150,8180,8320,162192,,,,,,,,,,
2017-01-26,8340,8440,8170,8340,8180,131628,,,,,,,,,,
2017-01-31,8210,8400,8150,8210,8400,86947,,,,,,,,,,
2017-02-01,8260,8310,8130,8260,8200,77835,exit,,,,,,,,,
2017-02-02,8120,8320,8100,8120,8260,96992,,exit,,,,,,,,
2017-02-03,8170,8200,8090,8170,8120,62798,,,exit,,,,,,,
2017-02-06,8610,8700,8260,8610,8260,344191,,,,exit,exit,,,,,
2017-02-07,8480,8660,8470,8480,8650,178167,,,,,,,,,,
2017-02-08,8440,8640,8400,8440,8500,152251,,,,,,exit,,,,
2017-02-09,8460,8460,8290,8460,8400,81039,,,,,,,exit,,,
2017-02-10,8360,8500,8300,8360,8460,107829,enter,enter,enter,enter,enter,enter,enter,exit,,
2017-02-13,8300,8440,8280,8300,8330,137746,,,,,,,,enter,exit,exit
2017-02-14,8350,8420,8300,8350,8320,81747,,,,,,,,,enter,enter
2017-02-15,8550,8650,8330,8550,8340,162442,,,,,,,,,,
2017-02-16,8420,8580,8420,8420,8570,77437,,,,,,,,,,
2017-02-17,8620,8890,8380,8620,8420,321248,,,,,,,,,,
2017-02-20,8510,8700,8460,8510,8690,147880,,,,,,,,,,
2017-02-21,8530,8650,8490,8530,8520,93793,,,,,,,,,,
2017-02-22,8650,8710,8550,8650,8560,115668,,,,,,,,,,
2017-02-23,8580,8710,8500,8580,8690,97152,,,,,,,,,,
2017-02-24,8690,8820,8600,8690,8620,120593,,,,,,,,,,
2017-02-27,8930,8980,8730,8930,8730,210604,,,,,,,,,,
2017-02-28,8900,9140,8750,8900,9000,316121,,,,,,,,,,
2017-03-02,8880,8930,8800,8880,8900,127835,,,,,,,,,,
2017-03-03,8710,8870,8690,8710,8850,127950,,,,,,,,,,
2017-03-06,9160,9200,8670,9160,8710,448429,,,,,,,,,,
2017-03-07,9020,9160,8960,9020,9160,174775,,,,,,,,,,
2017-03-08,9040,9150,9000,9040,9020,183502,,,,,,,,,,
2017-03-09,9000,9100,9000,9000,9060,184408,,,,,,,,,,
2017-03-10,9040,9070,8850,9040,9000,270497,,,,,,,,,,
2017-03-13,8960,9080,8940,8960,9050,63329,exit,exit,exit,exit,exit,exit,exit,,,
2017-03-14,8820,9000,8800,8820,8960,106237,enter,enter,enter,enter,enter,enter,enter,,,
2017-03-15,8960,8980,8810,8960,8810,126305,,,,,,,,exit,,
2017-03-16,9060,9060,8900,9060,8970,92390,,,,,,,,enter,exit,exit
2017-03-17,8970,9100,8880,8970,9070,92558,,,,,,,,,enter,enter
2017-03-20,8900,8970,8870,8900,8970,54443,,,,,,,,,,
2017-03-21,8870,9010,8850,8870,8960,173728,,,,,,,,,,
2017-03-22,9010,9120,8880,9010,8880,109599,,,,,,,,,,
2017-03-23,8970,9070,8900,8970,8990,74038,,,,,,,,,,
