date,aclose,close,high,low,open,volume
2000-01-04,3114,3300,3300,2820,2820,847150
2000-01-05,3304,3500,3790,3120,3360,3643800
2000-01-06,2870,3040,3680,2980,3500,1303200
2000-01-07,3294,3490,3490,3000,3160,2265400
2000-01-10,3210,3400,3920,3350,3860,3764400
2000-01-11,3276,3470,3700,3300,3400,1505050
2000-01-12,3766,3990,3990,3400,3490,3715400
2000-01-13,3512,3720,4460,3680,4000,10743150
2000-01-14,2992,3170,3720,3170,3720,4519500
2000-01-17,2964,3140,3400,3080,3130,3071450
2000-01-18,2850,3020,3300,3000,3200,1949450
2000-01-19,2700,2860,3160,2840,3030,1891500
2000-01-20,2605,2760,2880,2700,2800,1009150
2000-01-21,2662,2820,3040,2710,2800,2121100
2000-01-24,2700,2860,3040,2830,2880,1469100
2000-01-25,2586,2740,2940,2740,2830,886000
2000-01-26,2614,2770,2840,2700,2820,728300
2000-01-27,2737,2900,3150,2770,2800,3181950
2000-01-28,2756,2920,3000,2830,3000,1022850
2000-01-31,2718,2880,3040,2880,2880,1128950
2000-02-01,2700,2860,2940,2820,2900,847450
2000-02-02,2832,3000,3100,2860,2920,1947200
2000-02-03,2766,2930,3040,2900,3020,912950
2000-02-07,2784,2950,3030,2900,2930,1065300
2000-02-08,2832,3000,3180,2940,3090,1552800
2000-02-09,2945,3120,3180,2980,3000,2226750
2000-02-10,2756,2920,3210,2920,3120,1455200
2000-02-11,2974,3150,3280,2800,2940,3572400
2000-02-14,2794,2960,3290,2940,3260,2057300
2000-02-15,2700,2860,3000,2600,3000,1467250
2000-02-16,2643,2800,2900,2740,2800,786000
2000-02-17,2860,3030,3130,2820,2820,2856150
2000-02-18,3284,3480,3480,3120,3160,6247850
2000-02-21,3388,3590,3860,3400,3520,8503600
2000-02-22,3134,3320,3670,3060,3600,3268750
2000-02-23,3058,3240,3500,3100,3320,2790550
2000-02-24,3068,3250,3440,3200,3310,2063550
2000-02-25,2916,3090,3280,3090,3220,1879300
2000-02-28,2690,2850,3000,2840,3000,1953800
2000-02-29,2812,2980,3040,2900,2900,1559350
2000-03-02,3020,3200,3340,3040,3040,3539600
2000-03-03,2907,3080,3290,3060,3160,1629250
2000-03-06,3020,3200,3280,3100,3280,1400750
2000-03-07,3134,3320,3460,3100,3130,2224200
2000-03-08,3040,3220,3310,3170,3240,1147850
2000-03-09,2945,3120,3340,3120,3280,1344750
2000-03-10,3106,3290,3480,3140,3200,2098400
2000-03-13,3304,3500,3700,3340,3420,3944100
2000-03-14,3152,3340,3520,3240,3440,1829450
2000-03-15,2870,3040,3300,3020,3300,1561800
2000-03-16,2832,3000,3300,2960,3240,2084550
2000-03-17,2766,2930,3090,2900,3020,1146300
2000-03-20,2794,2960,3040,2900,2970,733500
2000-03-21,2784,2950,3020,2900,2900,513000
2000-03-22,2870,3040,3060,2950,2980,956050
2000-03-23,2850,3020,3140,3000,3080,778250
2000-03-24,3096,3280,3470,3000,3100,4094900
2000-03-27,3078,3260,3440,3210,3420,1844600
2000-03-28,3190,3380,3500,3230,3240,1994900
2000-03-29,3020,3200,3440,3170,3380,1358050
2000-03-30,2973,3060,3180,3010,3170,592200
2000-03-31,2973,3060,3180,2980,2990,714650
2000-04-03,2798,2880,3120,2760,3060,689800
2000-04-04,2720,2800,3000,2700,2920,1204250
